COUNTRY_CODE,COUNTRY_NAME,POPULATION,TOTAL_CASES,TOTAL_DEATHS,TOTAL_VACCINATIONS,ONE_DOSE_VACCINATED,FULLY_VACCINATED,FIRST_VACCINE_DATE,LAST_UPDATED_DATE,STRINGENCY_INDEX,URBANISATION_RATE,URBANISATION_YEARLY_CHANGE,GDP_PER_CAP,DENSITY,AVG_TEMPARATURE,PRECIPITATION,INFECTION_RATE_PER_1000,DEATHS_PER_1000,TOTAL_VACCINATIONS_PER_1000,OECD_COUNTRY
FJI,Fiji,939535,51701,661,1107254,617865,489389,2021-03-07,2021-10-08,88.89,57.7,1.37,13684,51.41,25.6,7.71,55.03,0.7,1179,No
SWZ,Eswatini,1113276,46363,1233,270643,236992,229476,2021-03-19,2021-10-17,61.11,24.4,2.42,8622,64.11,NA,NA,41.65,1.11,243,No
SUR,Suriname,614749,45592,994,422680,239647,183033,2021-02-23,2021-10-15,61.11,66.2,0.88,16525,3.75,26.12,8.87,74.16,1.62,688,No
PYF,French Polynesia,297154,45439,633,296738,153575,143163,2021-01-18,2021-10-05,NA,62.1,0.65,17000,71.31,25.18,3.18,152.91,2.13,999,No
MDG,Madagascar,27534354,43616,960,479068,197001,282067,2021-05-10,2021-10-11,35.19,39.2,4.26,1647,46.9,24,9.44,1.58,0.03,17,No
SDN,Sudan,46751152,39839,2979,2096024,670712,1001673,2021-03-09,2021-10-17,13.89,35.6,3.43,3958,25.11,NA,NA,0.85,0.06,45,No
SYR,Syrian Arab Republic,20384316,39086,2408,902519,681791,367744,2021-04-01,2021-10-12,60.65,56.1,5.38,2900,108.75,22.11,6.55,1.92,0.12,44,No
CPV,Cabo Verde,589451,38040,347,472436,286160,186276,2021-03-18,2021-10-17,55.56,67.1,1.83,7172,146.16,23.9,8.71,64.53,0.59,801,No
MLT,Malta,460891,37458,459,800564,417197,383367,2020-12-23,2021-10-10,43.52,94.8,0.28,44032,1458.52,20.63,0.35,81.27,1,1737,No
MRT,Mauritania,4079284,36677,788,1298995,711425,587570,2021-03-26,2021-10-13,50,56.1,3.84,5197,3.96,23.66,1.32,8.99,0.19,318,No
GUY,Guyana,787971,33973,851,596526,369877,226649,2021-02-11,2021-10-15,65.74,26.9,1.01,13082,3.67,26.66,9.86,43.11,1.08,757,No
GAB,Gabon,2284912,33442,213,180320,118128,87976,2021-03-23,2021-10-12,55.56,90.4,2.27,14950,8.54,26.71,8.65,14.64,0.09,79,No
LAO,Lao People's Democratic Republic,7574356,32029,40,4213630,3018273,2126318,2020-11-25,2021-10-04,72.22,36.9,2.99,7826,31.99,28.2,11.95,4.23,0.01,556,No
GIN,Guinea,12877894,30572,385,2077305,1371867,705438,2021-03-05,2021-10-17,62.96,37.3,3.64,2562,52.38,27.68,20.82,2.37,0.03,161,No
TZA,United Republic of Tanzania,62092761,26034,724,885579,NA,885579,NA,2021-10-13,13.89,36,4.89,2660,65.55,23.74,8.73,0.42,0.01,14,No
TGO,Togo,8283189,25899,239,1287154,867386,419768,2021-03-10,2021-10-15,38.89,43.4,3.6,1597,145.87,27.94,8.15,3.13,0.03,155,No
PNG,Papua New Guinea,7399757,24857,309,191925,133741,61221,2021-03-30,2021-09-29,49.54,13.5,2.91,4355,15.99,27.49,5.66,3.36,0.04,26,No
BEN,Benin,13301694,24560,161,252698,216527,186951,2021-03-29,2021-10-13,37.04,49,3.74,3287,118.11,27.88,8.16,1.85,0.01,19,No
BLZ,Belize,405633,23507,451,360089,219327,174382,2021-03-01,2021-10-15,56.48,46.2,2.3,7005,17.66,27.91,3.43,57.95,1.11,888,No
HTI,Haiti,11198240,22827,649,102168,73568,29282,NA,2021-10-15,64.81,58,2.47,2905,403.54,NA,NA,2.04,0.06,9,No
SYC,Seychelles,96387,21947,114,159392,80595,74778,2021-01-10,2021-10-15,62.04,58,0.99,29223,211.84,27.32,5.82,227.7,1.18,1654,No
BHS,Bahamas,352655,21580,590,238432,133591,116579,2021-03-14,2021-10-15,51.39,83.4,1.02,37101,25.41,26.05,2.45,61.19,1.67,676,No
LSO,Lesotho,2177740,21530,655,383341,347836,339506,2021-03-10,2021-10-10,49.07,29.5,2.77,2704,71.74,NA,NA,9.89,0.3,176,No
BDI,Burundi,12241065,19730,14,NA,NA,NA,NA,NA,13.89,14.1,5.43,752,439.85,NA,NA,1.61,0,NA,No
TLS,Timor-Leste,1413958,19725,119,810855,495822,315033,2021-04-07,2021-10-12,46.3,31.7,3.31,3553,95.06,NA,NA,13.95,0.08,573,No
TJK,Tajikistan,8990874,17484,125,4491235,2517446,1973789,2021-03-24,2021-10-10,29.63,27.7,2.73,3380,62.39,12.4,7.14,1.94,0.01,500,No
CUW,Curaçao,151885,16866,169,189304,98872,90432,2021-02-24,2021-10-15,NA,89.1,0.57,24479,342.08,NA,NA,111.04,1.11,1246,No
MUS,Mauritius,1386129,16669,134,1633952,878687,830651,2021-01-26,2021-10-12,39.81,40.8,0.28,22870,679.48,25.1,4.63,12.03,0.1,1179,No
