"","country","urbanisation_rate","urbanisation_yearly_change","gdp_per_cap","size","population","density","country_code"
"210","Uganda","25.6","5.41",2187,241038,44712143,185.5,"UGA"
"211","Ukraine","69.8","-0.27",12810,603550,43745640,72.48,"UKR"
"212","United Arab Emirates","87.3","1.5",67119,83600,9856612,117.9,"ARE"
"213","United Kingdom","84.2","0.8",46659,243610,67081000,275.36,"GBR"
"214","United States","82.9","0.96",62530,9833517,334998398,34.07,"USA"
"215","Uruguay","95.6","0.4",21561,176215,3398239,19.28,"URY"
"216","Uzbekistan","50.4","1.25",6999,447400,30842796,68.94,"UZB"
"217","Vanuatu","25.7","2.55",3153,12189,303009,24.86,"VUT"
"218","Venezuela","88.3","1.16",7704,912050,29069153,31.87,"VEN"
"219","Vietnam","38.1","2.7",8041,331210,102789598,310.35,"VNM"
"220","Virgin Islands","96","-0.11",37000,1910,105870,55.43,NA
"221","Wallis and Futuna","0","0",3800,142,15851,111.63,"WLF"
"222","West Bank","77","2.85",6220,5860,2949246,503.28,"PSE"
"223","Yemen","38.5","3.71",2500,527968,30399243,57.58,"YEM"
"224","Zambia","45.2","4.15",3470,752618,19077816,25.35,"ZMB"
"225","Zimbabwe","32.3","2.41",2836,390757,14829988,37.95,"ZWE"
