country_code,country_name,population,total_cases,total_deaths,total_vaccinations,vaccinated_1dose,fully_vacccinated,first_vaccine_date,last_updated_date,stringency_index,urbanisation_rate,urbanisation_yearly_change,gdp_per_cap,density,tavg,prcp,Infection_Rate_per_100,Deaths_per_10000,total_vaccinations_per_100
GAB,Gabon,2284912,32135,201,180320,120033,86340,2021-03-23,2021-10-08,84.26,90.4,2.27,14950,8.54,26.709898882384252,8.651250000000013,1.41,0.88,8
GIN,Guinea,12877894,30479,383,1916549,1286118,630431,2021-03-05,2021-10-09,80.56,37.3,3.64,2562,52.38,27.676056338028186,20.82475247524752,0.24,0.3,15
LAO,Lao People's Democratic Republic,7574356,28540,26,4213630,3018273,2126318,2020-11-25,2021-10-04,96.3,36.9,2.99,7826,31.99,28.197698882314214,11.948287112561157,0.38,0.03,58
TZA,United Republic of Tanzania,62092761,25957,723,595938,NA,560938,NA,2021-10-03,52.78,36,4.89,2660,65.55,23.73963183540879,8.726755852842807,0.04,0.12,1
TGO,Togo,8283189,25778,236,1215025,805728,409297,2021-03-10,2021-10-08,73.15,43.4,3.6,1597,145.87,27.938165345413456,8.150305810397558,0.31,0.28,15
BEN,Benin,13301694,24335,159,239496,63708,175788,2021-03-29,2021-10-05,70.83,49,3.74,3287,118.11,27.879544015199524,8.164090177133659,0.18,0.12,2
PNG,Papua New Guinea,7399757,23026,245,191925,133741,61221,2021-03-30,2021-09-29,83.8,13.5,2.91,4355,15.99,27.49076923076927,5.657894736842103,0.31,0.33,2
HTI,Haiti,11198240,22354,634,88260,63022,25579,NA,2021-10-08,93.52,58,2.47,2905,403.54,NA,NA,0.2,0.57,1
BLZ,Belize,405633,21893,426,344535,215466,144575,2021-03-01,2021-10-08,85.19,46.2,2.3,7005,17.66,27.907575757575746,3.4290196078431348,5.4,10.5,87
SYC,Seychelles,96387,21769,112,148402,77311,71091,2021-01-10,2021-09-16,93.52,58,0.99,29223,211.84,27.317045454545447,5.819123505976099,22.58,11.62,151
BHS,Bahamas,352655,21518,586,207784,124207,88265,2021-03-14,2021-10-01,96.3,83.4,1.02,37101,25.41,26.054166666666653,2.45243798118049,6.1,16.62,53
LSO,Lesotho,2177740,21457,652,383341,347836,339506,2021-03-10,2021-10-10,90.74,29.5,2.77,2704,71.74,NA,NA,0.99,2.99,18
TLS,Timor-Leste,1413958,19675,119,761656,468339,293317,2021-04-07,2021-10-05,87.04,31.7,3.31,3553,95.06,NA,NA,1.39,0.84,58
BDI,Burundi,12241065,19257,14,NA,NA,NA,NA,NA,27.31,14.1,5.43,752,439.85,NA,NA,0.16,0.01,NA
